,Dates,Confirmed
0,0,10.0
1,1,15.0
2,2,25.0
3,3,38.0
4,4,56.0
5,5,64.0
6,6,84.0
7,7,95.0
8,8,111.0
9,9,142.0
10,10,167.0
11,11,180.0
12,12,188.0
13,13,212.0
14,14,227.0
15,15,265.0
16,16,317.0
17,17,343.0
18,18,361.0
19,19,457.0
20,20,476.0
21,21,523.0
22,22,538.0
23,23,595.0
24,24,686.0
25,25,780.0
26,26,896.0
27,27,999.0
28,28,1095.0
29,29,1200.0
30,30,1371.0
31,31,1677.0
32,32,2047.0
33,33,2418.0
34,34,2755.0
35,35,3332.0
36,36,4258.0
37,37,5301.0
38,38,6761.0
39,39,8542.0
40,40,10285.0
41,41,12705.0
42,42,14856.0
43,43,17514.0
44,44,21190.0
45,45,25180.0
46,46,29121.0
47,47,33041.0
48,48,37830.0
49,49,45065.0
50,50,47536.0
51,51,64381.0
52,52,75257.0
53,53,86560.0
54,54,100704.0
55,55,116321.0
56,56,134077.0
57,57,161743.0
58,58,191291.0
59,59,223658.0
60,60,256807.0
61,61,297382.0
62,62,336711.0
63,63,386314.0
64,64,448376.0
65,65,512102.0
66,66,579330.0
67,67,638566.0
68,68,700885.0
69,69,775950.0
70,70,850869.0
71,71,931411.0
72,72,1014122.0
73,73,1094201.0
74,74,1167825.0
75,75,1239527.0
76,76,1313180.0
77,77,1398424.0
78,78,1481807.0
79,79,1575203.0
80,80,1653198.0
81,81,1752225.0
82,82,1822196.0
83,83,1893408.0
84,84,1973280.0
85,85,2069806.0
86,86,2157100.0
87,87,2238399.0
88,88,2318163.0
89,89,2389237.0
90,90,2466264.0
91,91,2544890.0
92,92,2625513.0
93,93,2728513.0
94,94,2814658.0
95,95,2889057.0
96,96,2959464.0
97,97,3034350.0
98,98,3113043.0
99,99,3176330.0
100,100,3263898.0
101,101,3346905.0
102,102,3426063.0
103,103,3502394.0
104,104,3582208.0
105,105,3675632.0
106,106,3765975.0
107,107,3857466.0
108,108,3943777.0
109,109,4021103.0
110,110,4096499.0
111,111,4181511.0
112,112,4267153.0
113,113,4361894.0
114,114,4461992.0
115,115,4553841.0
116,116,4633869.0
117,117,4722384.0
118,118,4817658.0
119,119,4916308.0
120,120,5022375.0
121,121,5130994.0
122,122,5230416.0
123,123,5327171.0
124,124,5414550.0
125,125,5509941.0
126,126,5612056.0
127,127,5729594.0
128,128,5844814.0
129,129,5979338.0
130,130,6086742.0
131,131,6185939.0
132,132,6307294.0
133,133,6425965.0
134,134,6554273.0
135,135,6691831.0
136,136,6817733.0
137,137,6931777.0
138,138,7040215.0
139,139,7163994.0
140,140,7282781.0
141,141,7436791.0
142,142,7555399.0
143,143,7689613.0
144,144,7823169.0
145,145,7956575.0
146,146,8096330.0
147,147,8273691.0
148,148,8413359.0
149,149,8592957.0
150,150,8716559.0
151,151,8879685.0
152,152,9024128.0
153,153,9190543.0
154,154,9359397.0
155,155,9538686.0
156,156,9730571.0
157,157,9908152.0
158,158,10077043.0
159,159,10231828.0
160,160,10405963.0
161,161,10623136.0
162,162,10802116.0
163,163,11005952.0
164,164,11198290.0
165,165,11381603.0
166,166,11550744.0
167,167,11760799.0
168,168,11974543.0
169,169,12200154.0
170,170,12431634.0
171,171,12649942.0
172,172,12842094.0
173,173,13035299.0
174,174,13255840.0
175,175,13487788.0
176,176,13736166.0
177,177,13986976.0
178,178,14223948.0
179,179,14437882.0
180,180,14638750.0
181,181,14878782.0
182,182,15158350.0
183,183,15441271.0
184,184,15723204.0
185,185,15976381.0
186,186,16182302.0
187,187,16417334.0
188,188,16621664.0
189,189,16961411.0
190,190,17241845.0
191,191,17532542.0
192,192,17781571.0
193,193,18012887.0
194,194,18220528.0
195,195,18478659.0
196,196,18754483.0
197,197,19039819.0
198,198,19322283.0
199,199,19581384.0
200,200,19807026.0
201,201,20033500.0
202,202,20290419.0
203,203,20576622.0
204,204,20854959.0
205,205,21157331.0
206,206,21408100.0
207,207,21623242.0
208,208,21830897.0
209,209,22089082.0
210,210,22367844.0
211,211,22640132.0
212,212,22901859.0
213,213,23155505.0
214,214,23372907.0
215,215,23599096.0
216,216,23842628.0
217,217,24124767.0
218,218,24405311.0
219,219,24689623.0
220,220,24954721.0
221,221,25175702.0
222,222,25440786.0
223,223,25706343.0
224,224,25988865.0
225,225,26262802.0
226,226,26568741.0
227,227,26839217.0
228,228,27078466.0
229,229,27291531.0
230,230,27530801.0
231,231,27823948.0
232,232,28123101.0
233,233,28444060.0
234,234,28731260.0
235,235,28973735.0
236,236,29153912.0
237,237,29523022.0
238,238,29826792.0
239,239,30141897.0
240,240,30467854.0
241,241,30760666.0
242,242,31013702.0
243,243,31289725.0
244,244,31574414.0
245,245,31848925.0
246,246,32202333.0
247,247,32537876.0
248,248,32826889.0
249,249,33081741.0
250,250,33334349.0
251,251,33617456.0
252,252,33943004.0
253,253,34255650.0
254,254,34561144.0
255,255,34879442.0
256,256,35155141.0
257,257,35451823.0
258,258,35782887.0
259,259,36132662.0
260,260,36494036.0
261,261,36855065.0
262,262,37212270.0
263,263,37499305.0
264,264,37791275.0
265,265,38110675.0
266,266,38492753.0
267,267,38899834.0
268,268,39311591.0
269,269,39684275.0
270,270,40001023.0
271,271,40388245.0
272,272,40777470.0
273,273,41221633.0
274,274,41694361.0
275,275,42200471.0
276,276,42655615.0
277,277,43054952.0
278,278,43496201.0
279,279,43967127.0
280,280,44485294.0
281,281,45023810.0
282,282,45589785.0
283,283,46076058.0
284,284,46546385.0
285,285,47050748.0
286,286,47568529.0
287,287,48166826.0
288,288,48763758.0
289,289,49408607.0
290,290,50005650.0
291,291,50489440.0
292,292,50957005.0
293,293,51520753.0
294,294,52168905.0
295,295,52818693.0
296,296,53470522.0
297,297,54065235.0
298,298,54538915.0
299,299,55072322.0
300,300,55683634.0
301,301,56310544.0
302,302,56963704.0
303,303,57632065.0
304,304,58219292.0
305,305,58707271.0
306,306,59231955.0
307,307,59821957.0
308,308,60457375.0
309,309,61039494.0
310,310,61726726.0
311,311,62312298.0
312,312,62800543.0
313,313,63308535.0
314,314,63920372.0
315,315,64570972.0
316,316,65264449.0
317,317,65947526.0
318,318,66589001.0
319,319,67127778.0
320,320,67647185.0
321,321,68290036.0
322,322,68959040.0
323,323,70456185.0
324,324,71159004.0
325,325,71793133.0
326,326,72323318.0
327,327,72847175.0
328,328,73483656.0
329,329,74216323.0
330,330,74954944.0
331,331,75674308.0
332,332,76285765.0
333,333,76818746.0
334,334,77367360.0
335,335,78016498.0
336,336,78710560.0
337,337,79377452.0
338,338,79842561.0
339,339,80355013.0
340,340,80792862.0
341,341,81288958.0
342,342,81951408.0
343,343,82711614.0
344,344,83434788.0
345,345,83967281.0
346,346,84592800.0
347,347,85125734.0
348,348,85678943.0
349,349,86417576.0
350,350,87199144.0
351,351,88078996.0
352,352,88879075.0
353,353,89641642.0
354,354,90230586.0
355,355,90849337.0
356,356,91554128.0
357,357,92301453.0
358,358,93056051.0
359,359,93821011.0
360,360,94459684.0
361,361,94987791.0
362,362,95502731.0
363,363,96109671.0
364,364,96801420.0
365,365,97457367.0
366,366,98115568.0
367,367,98683024.0
368,368,99128580.0
369,369,99624931.0
370,370,100179965.0
371,371,100777192.0
372,372,101391159.0
373,373,101980811.0
374,374,102495590.0
375,375,102877781.0
376,376,103323639.0
377,377,103780821.0
378,378,104302543.0
379,379,104768698.0
380,380,105303224.0
381,381,105675241.0
382,382,106073052.0
383,383,106388728.0
384,384,106816079.0
385,385,107251222.0
386,386,107692130.0
387,387,108121193.0
388,388,108494139.0
389,389,108787714.0
390,390,109071066.0
391,391,109421653.0
392,392,109816734.0
393,393,110219933.0
394,394,110659320.0
395,395,111029578.0
396,396,111343260.0
397,397,111632037.0
398,398,112019890.0
399,399,112464430.0
400,400,112911535.0
401,401,113325717.0
402,402,113694842.0
