,Dates,People_Fully_Vaccinated
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,44004.0
22,22,2.0
23,23,2.0
24,24,2.0
25,25,2178.0
26,26,4061.0
27,27,5910.0
28,28,1044696.0
29,29,855451.0
30,30,923363.0
31,31,1010945.0
32,32,2441971.0
33,33,2764882.0
34,34,1188482.0
35,35,1303914.0
36,36,1477934.0
37,37,3725421.0
38,38,4142300.0
39,39,4692381.0
40,40,5234773.0
41,41,5607708.0
42,42,6109253.0
43,43,6592699.0
44,44,7134720.0
45,45,7818388.0
46,46,8730972.0
47,47,9377903.0
48,48,10226343.0
49,49,11132202.0
50,50,11871822.0
51,51,12353192.0
52,52,13433793.0
53,53,14585944.0
54,54,14830935.0
55,55,16008441.0
56,56,18001377.0
57,57,18306639.0
58,58,19621675.0
59,59,22067180.0
60,60,22284125.0
61,61,22736469.0
62,62,24494954.0
63,63,27070658.0
64,64,13573251.0
65,65,29217033.0
66,66,30788522.0
67,67,32539522.0
68,68,32890006.0
69,69,35065136.0
70,70,37272222.0
71,71,38151874.0
72,72,41842414.0
73,73,42359354.0
74,74,43514673.0
75,75,45521878.0
76,76,46345540.0
77,77,50217092.0
78,78,52969506.0
79,79,52933742.0
80,80,56283119.0
81,81,57540294.0
82,82,58534730.0
83,83,58056286.0
84,84,60088698.0
85,85,63270356.0
86,86,64762432.0
87,87,69592914.0
88,88,73010600.0
89,89,75600854.0
90,90,78513026.0
91,91,77982576.0
92,92,82336622.0
93,93,79035899.0
94,94,90713305.0
95,95,88548724.0
96,96,90448901.0
97,97,81404397.0
